2062,2076,41.5130514958105
2062,2083,18.7386494483974
2062,2105,39.7482990557921
2100,2076,50.236540260640105
2100,2083,19.80465161924541
2100,2105,29.958808120114483
2106,2076,19.789801248761442
2106,2083,70.28124743401307
2106,2105,9.928951317225483
2094,2060,27.08752548115159
2094,2063,18.182908038709286
2094,2073,36.347884392306725
2094,2106,18.381682087832402
2097,2060,40.62108145493344
2097,2063,14.418130371509605
2097,2073,42.34545422764314
2097,2106,2.615333945913818
2105,2060,51.386548091181325
2105,2063,43.06603128767335
2105,2073,1.670145611223951
2105,2106,3.877275009921391
2117,2060,20.619514178194127
2117,2073,42.23940771061423
2117,2106,37.141078111191646
2069,2059,47.56043881004969
2069,2084,17.687584473316473
2069,2115,34.751976716633834
2072,2115,100.0
2090,2059,32.138747735389494
2090,2084,10.074039419540362
2090,2115,57.787212845070144
2073,2081,62.72314301221363
2073,2095,37.27685698778637
2096,2095,10.46332201176043
2096,2097,89.53667798823957
2108,2081,0.7129318916616589
2108,2095,36.40468660847806
2108,2097,62.88238149986028
2064,2065,23.60383010326961
2064,2066,10.090584155930458
2064,2077,32.973105751578835
2064,2099,33.3324799892211
2067,2065,18.69188229510548
2067,2066,46.90310185535653
2067,2077,34.40501584953799
2068,2065,41.19196810204137
2068,2066,11.475231952366437
2068,2077,35.72912770498354
2068,2099,11.60367224060866
2087,2065,51.99558511886892
2087,2066,26.239852548245825
2087,2077,8.901586194466054
2087,2099,12.862976138419214
2070,2082,40.88669735432028
2070,2089,30.507329328609373
2070,2104,19.74011527816706
2070,2113,8.865858038903298
2085,2082,14.434570540735708
2085,2089,35.93057623484816
2085,2104,28.928880236998317
2085,2113,20.705972987417823
2101,2089,35.40410251539093
2101,2104,24.875614567813482
2101,2113,39.72028291679558
2111,2082,45.550331793103176
2111,2089,24.148296366352255
2111,2104,3.005808118897101
2111,2113,27.295563721647454
2074,2080,45.87539217688269
2074,2111,54.12460782311731
2104,2080,100.0
2112,2078,70.36348854729358
2112,2111,29.636511452706415
2086,2067,42.53806722563817
2086,2098,16.236662540216766
2086,2116,41.22527023414506
2099,2098,72.12074998873192
2099,2116,27.879250011268084
2110,2067,9.45714713936464
2110,2098,50.229078174128915
2110,2116,40.31377468650645
2061,2090,66.34075854703946
2061,2093,33.65924145296054
2103,2090,18.042586372141745
2103,2093,76.66154092353881
2103,2109,5.29587270431945
2115,2090,40.469067045222275
2115,2093,7.5502488512455015
2115,2109,51.98068410353223
