[Lanes],,,,,,,,,,,,,,,,
Lane Group Data,,,,,,,,,,,,,,,,
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,,,
Phase1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,5,2,,1,6,,7,4,,3,8,,,,
PermPhase1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,2,,2,6,,6,4,,4,8,,8,,,
LostTime,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Lost Time Adjust,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
IdealFlow,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
SatFlow,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
SatFlowPerm,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Allow RTOR,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,1,,,1,,,1,,,1,,,
SatFlowRTOR,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Volume,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Peds,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Bicycles,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
PHF,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Growth,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
HeavyVehicles,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
BusStops,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Midblock,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Distance,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
TravelTime,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Right Channeled,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Alignment,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Enter Blocked,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
HeadwayFact,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Turning Speed,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
FirstDetect,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
LastDetect,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectPhase1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectPhase2,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectPhase3,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectPhase4,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
SwitchPhase,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
numDetects,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectPos1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectSize1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,25,50,,25,50,,25,50,,25,50,,,,
DetectType1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectExtend1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectQueue1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
DetectDelay1,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Exit Lanes,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
CBD,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Lane Group Flow,cluster_1655457006_1655457009_5906917264_5913542432_#4more,,,,,,,,,,,,,,,
Up Node,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Dest Node,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Lanes,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,3,0,0,1,3,0,0,3,0,,,
Shared,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,2,,0,0,0,,,2,0,,,
Width,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Storage,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Taper,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
StLanes,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Grade,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Speed,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Phase1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,6,,6,7,4,,,8,,,,
PermPhase1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,4,,,,,8,,,
LostTime,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Lost Time Adjust,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
IdealFlow,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
SatFlow,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
SatFlowPerm,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Allow RTOR,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,1,,,,,,1,,,
SatFlowRTOR,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Volume,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Peds,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Bicycles,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
PHF,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Growth,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
HeavyVehicles,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
BusStops,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Midblock,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Distance,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
TravelTime,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Right Channeled,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Alignment,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Enter Blocked,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
HeadwayFact,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Turning Speed,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
FirstDetect,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
LastDetect,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectPhase1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectPhase2,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectPhase3,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectPhase4,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
SwitchPhase,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
numDetects,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectPos1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectSize1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,25,,,25,50,,25,50,,,,
DetectType1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectExtend1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectQueue1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
DetectDelay1,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Exit Lanes,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
CBD,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Lane Group Flow,cluster_1923791237_2203813886_2231137214_5913291209_#3more,,,,,,,,,,,,,,,
Up Node,cluster_1105879188_1105879277_1105879560_1105879625_#8more,,,,,,,,,,,,,,,
