IntersectionName,Time,NBR,NBT,NBL,NBU,EBR,EBT,EBL,EBU,SBR,SBT,SBL,SBU,WBR,WBT,WBL,WBU
I-75 NB Off Ramp & Shallowford Rd.,18:30,153,2,53,,,209,25,,,,,,145,257,,
I-75 NB Off Ramp & Shallowford Rd.,18:45,132,5,60,,,236,31,,,,,,105,228,,
I-75 NB Off Ramp & Shallowford Rd.,19:00,92,9,43,,,205,37,,,,,,135,234,,
I-75 NB Off Ramp & Shallowford Rd.,19:15,108,5,47,,,184,24,,,,,,134,224,,
I-75 NB Off Ramp & Shallowford Rd.,19:30,104,2,38,,,174,29,,,,,,102,200,,
I-75 NB Off Ramp & Shallowford Rd.,19:45,108,2,59,,,165,24,,,,,,115,218,,
I-75 NB Off Ramp & Shallowford Rd.,20:00,93,3,29,,,160,21,,,,,,139,225,,
I-75 NB Off Ramp & Shallowford Rd.,20:15,107,2,38,,,159,35,,,,,,104,210,,
I-75 NB Off Ramp & Shallowford Rd.,20:30,83,3,53,,,128,24,,,,,,78,188,,
I-75 NB Off Ramp & Shallowford Rd.,20:45,90,3,25,,,111,22,,,,,,75,176,,
I-75 NB Off Ramp & Shallowford Rd.,21:00,75,2,32,,,110,26,,,,,,85,181,,
I-75 NB Off Ramp & Shallowford Rd.,21:15,71,6,28,,,123,22,,,,,,71,182,,
I-75 NB Off Ramp & Shallowford Rd.,21:30,50,1,28,,,79,12,,,,,,55,143,,
I-75 NB Off Ramp & Shallowford Rd.,21:45,51,1,25,,,71,14,,,,,,41,126,,
I-75 NB Off Ramp & Shallowford Rd.,22:00,48,,26,,,74,13,,,,,,33,119,,
I-75 NB Off Ramp & Shallowford Rd.,22:15,36,1,23,1,,51,16,,,,,,33,69,,
I-75 NB Off Ramp & Shallowford Rd.,22:30,35,,19,,,46,12,,,,,,24,82,,
I-75 NB Off Ramp & Shallowford Rd.,22:45,27,,29,,,49,11,,,,,,23,53,,
I-75 NB Off Ramp & Shallowford Rd.,23:00,30,1,17,,,51,9,,,,,,14,59,,
I-75 NB Off Ramp & Shallowford Rd.,23:15,22,,19,,,41,7,,,,,,23,50,,
I-75 NB Off Ramp & Shallowford Rd.,23:30,11,,12,,,24,6,,,,,,10,38,,
I-75 NB Off Ramp & Shallowford Rd.,23:45,12,,11,,,21,10,,,,,,5,33,,
